Borough,2010 Census FIPS County Code,2010 DCP Borough Code,2010 Census Tract,t_pop_2010,,,,,,,
Queens,081,4,098100,"2,249",158.47,14.2,,,,,
Queens,081,4,098700,"2,444",161.76,15.1,,,,,
Queens,081,4,099100,"6,507",268.57,24.2,,,,,
Queens,081,4,099200,"3,803",147.39,25.8,,,,,
Queens,081,4,099701,"2,670",236.25,11.3,,,,,
Queens,081,4,099703,"3,892",158.54,24.5,,,,,
Queens,081,4,099704,"6,868",169.04,40.6,,,,,
Queens,081,4,099705,"2,632",105.88,24.9,,,,,
Queens,081,4,099801,"7,608",113.36,67.1,,,,,
Queens,081,4,099802,"5,283",118.51,44.6,,,,,
Queens,081,4,099900,0,157.32,0.0,,,,,
Queens,081,4,100801,"2,327",160.6,14.5,,,,,
Queens,081,4,100802,"8,106",249.01,32.6,,,,,
Queens,081,4,101001,"9,943",195.59,50.8,,,,,
Queens,081,4,101002,"4,138",137.52,30.1,,,,,
Queens,081,4,101700,"5,689",244.46,23.3,,,,,
Queens,081,4,102900,"3,319",123.27,26.9,,,,,
Queens,081,4,103201,"6,456",101.11,63.9,,,,,
Queens,081,4,103202,"6,197",175.31,35.3,,,,,
Queens,081,4,103300,"4,116",149.76,27.5,,,,,
Queens,081,4,103900,"6,151",216.2,28.5,,,,,
Queens,081,4,104700,"7,314",207.95,35.2,,,,,
Queens,081,4,105900,"3,556",160.52,22.2,,,,,
Queens,081,4,107201,"2,443",345.21,7.1,,,,,
Queens,081,4,107202,0,1854.46,0.0,,,,,
Queens,081,4,108500,"2,613",111.49,23.4,,,,,
Queens,081,4,109300,"3,034",277.37,10.9,,,,,
Queens,081,4,109700,"1,887",109.08,17.3,,,,,
Queens,081,4,109900,"3,277",94.7,34.6,,,,,
Queens,081,4,111300,"2,559",172.4,14.8,,,,,
Queens,081,4,112300,"2,102",69.01,30.5,,,,,
Queens,081,4,112900,"2,242",87.68,25.6,,,,,
Queens,081,4,113300,"1,537",62.11,24.7,,,,,
Queens,081,4,113900,"3,322",95.01,35.0,,,,,
Queens,081,4,114100,"2,406",110.73,21.7,,,,,
Queens,081,4,114700,"1,673",76.22,21.9,,,,,
Queens,081,4,115100,"1,116",69.84,16.0,,,,,
Queens,081,4,115500,"2,114",46.3,45.7,,,,,
Queens,081,4,115700,"3,388",77.58,43.7,,,,,
Queens,081,4,115900,"3,991",76.33,52.3,,,,,
Queens,081,4,116100,"4,589",44.09,104.1,,,,,
Queens,081,4,116300,"9,104",62.22,146.3,,,,,
Queens,081,4,116700,"2,067",41.05,50.4,,,,,
Queens,081,4,117100,"2,743",98.41,27.9,,,,,
Queens,081,4,117500,"4,990",138.8,36.0,,,,,
Queens,081,4,118100,"1,840",48.24,38.1,,,,,
Queens,081,4,118500,"2,114",38.34,55.1,,,,,
Queens,081,4,118700,"2,521",46.27,54.5,,,,,
Queens,081,4,118900,"2,468",50,49.4,,,,,
Queens,081,4,119100,"3,273",53.79,60.8,,,,,
Queens,081,4,119300,"2,252",52.16,43.2,,,,,
Queens,081,4,119500,"1,349",46.79,28.8,,,,,
Queens,081,4,119900,"1,507",45.56,33.1,,,,,
Queens,081,4,120100,"1,668",40.25,41.4,,,,,
